Fighter,Elo Rating
Joaquim Silva,1036.97
Viscardi Andrade,1036.85
Jaqueline Amorim,1036.85
Alden Coria,1036.84
Luis Pena,1036.83
Marvin Vettori,1036.8
Dennis Bermudez,1036.72
Donte Johnson,1036.68
Melvin Guillard,1036.65
Evan Dunham,1036.62
Carli Judice,1036.59
Sumudaerji,1036.58
Julio Arce,1036.08
Khaos Williams,1036.0
Rafael Estevam,1035.77
Constantinos Philippou,1035.73
Iwo Baraniewski,1035.46
Dan Henderson,1035.45
Cezar Ferreira,1035.38
Sodiq Yusuff,1035.25
Tom Breese,1035.14
Ignacio Bahamondes,1035.14
Marco Ruas,1035.13
Eryk Anders,1035.09
Diego Brandao,1034.98
Albert Tumenov,1034.93
Magnus Cedenblad,1034.55
SuYoung You,1034.54
Hakeem Dawodu,1034.5
Brian Ebersole,1034.25
Ben Rothwell,1034.21
Holly Holm,1033.92
George Sotiropoulos,1033.72
Marcus Davis,1033.63
Daniel Kelly,1033.52
Gerald Harris,1033.39
Ramazan Emeev,1033.39
Abdul Rakhman Yakhyaev,1033.1
Alatengheili,1032.81
Nicolae Negumereanu,1032.78
CB Dollaway,1032.77
Mike Russow,1032.51
Norman Parke,1032.15
Lauren Murphy,1032.14
Jordan Mein,1032.03
Taila Santos,1031.86
Travis Browne,1031.85
Jack Jenkins,1031.52
Mansur Abdul-Malik,1031.49
Zubaira Tukhugov,1031.43
Iuri Alcantara,1031.29
Gleison Tibau,1031.19
Paul Daley,1031.16
Ricardo Almeida,1030.97
Tim Kennedy,1030.94
Ismail Naurdiev,1030.78
Kyler Phillips,1030.72
Mohammed Usman,1030.58
Karl Williams,1030.55
Kevin Randleman,1030.4
Antonio Carlos Junior,1030.29
Anthony Smith,1030.27
Aleksandar Rakic,1030.2
Vinc Pichel,1030.09
Chris Curtis,1030.08
Wilson Gouveia,1029.93
Sara McMann,1029.89
Esteban Ribovics,1029.83
Jorge Rivera,1029.67
Johnny Case,1029.65
Patrick Cote,1029.57
David Terrell,1029.18
Ali Bagautinov,1029.09
Da'Mon Blackshear,1028.92
Cathal Pendred,1028.59
Jared Gordon,1028.2
Nordine Taleb,1028.14
Nina Nunes,1027.92
Kennedy Nzechukwu,1027.88
Joe Lauzon,1027.61
Jamall Emmers,1027.59
Jeff Monson,1027.5
Mirsad Bektic,1027.5
Jean Matsumoto,1027.08
Curtis Millender,1026.54
Viviane Araujo,1026.47
Michael Johnson,1026.37
Claudio Silva,1026.32
Ken Shamrock,1025.99
Tallison Teixeira,1025.9
John Makdessi,1025.87
Felipe Lima,1025.51
Mark Coleman,1025.29
Davi Ramos,1025.25
Sergey Khandozhko,1025.24
Olivier Aubin-Mercier,1025.23
Lone'er Kavanagh,1025.21
Tyrell Fortune,1025.21
Lucas Martins,1024.5
Saidyokub Kakhramonov,1024.43
Kajan Johnson,1024.37
Maurice Smith,1024.33
Drew Fickett,1024.27
Dan Ige,1024.21
Adriano Martins,1024.12
Melissa Croden,1024.06
Brad Tavares,1023.87
Chad Laprise,1023.59
Thiago Alves,1023.49
Joanne Wood,1023.49
Rafael Natal,1023.38
Takeya Mizugaki,1023.35
Rodrigo Nascimento,1023.3
Maiquel Falcao,1023.23
Khalid Murtazaliev,1023.19
Reiner de Ridder,1023.14
Carlos Condit,1023.07
Brendan Schaub,1023.0
Kenichi Yamamoto,1022.7
Timur Valiev,1022.62
Lerryan Douglas,1022.55
Andre Fili,1022.4
Che Mills,1022.31
Sergey Morozov,1022.27
Serhiy Sidey,1022.27
Sanae Kikuta,1022.17
Cezary Oleksiejczuk,1022.15
Macy Chiasson,1022.13
Luana Carolina,1022.09
Wilson Reis,1022.05
Todd Duffee,1022.02
Julian Erosa,1021.98
Dione Barbosa,1021.77
Timothy Johnson,1021.7
Gauge Young,1021.69
Pedro Munhoz,1021.66
Carlston Harris,1021.53
Javier Reyes,1021.41
Alexis Davis,1021.23
Ikuhisa Minowa,1021.22
Lee Murray,1021.22
Dmitry Sosnovskiy,1021.2
Mark Schultz,1021.15
Leslie Smith,1021.08
Jonny Parsons,1021.02
Javier Vazquez,1020.94
Scott Ferrozzo,1020.92
Steve Bosse,1020.92
Trey Waters,1020.91
Hermes Franca,1020.87
Joseph Morales,1020.87
Augusto Sakai,1020.87
Eduarda Moura,1020.8
Wang Guan,1020.67
Jennifer Maia,1020.6
Jhonata Diniz,1020.58
Jean-Paul Lebosnoyani,1020.53
Jamey-Lyn Horth,1020.51
Magomed Mustafaev,1020.48
Edgar Chairez,1020.47
Remco Pardoel,1020.46
Victor Valenzuela,1020.37
Mark Hall,1020.32
Rodolfo Bellato,1020.25
Islam Dulatov,1020.24
Tim Boetsch,1020.11
Carlos Felipe,1020.11
Brad Riddell,1020.08
Regina Tarin,1020.07
Brian Foster,1020.04
Gerard Gordeau,1020.0
Frank Hamaker,1020.0
Jon Hess,1020.0
Onassis Parungao,1020.0
Rafael Carino,1020.0
Justin Martin,1020.0
Yoshiki Takahashi,1020.0
Enson Inoue,1020.0
Kazushi Sakuraba,1020.0
Cesar Marscucci,1020.0
Tulio Palhares,1020.0
Sione Latu,1020.0
Marcelo Mello,1020.0
Scott Adams,1020.0
Bob Cook,1020.0
Ben Earwood,1020.0
Mark Hughes,1020.0
Jonathan Wiezorek,1020.0
Tom Murphy,1020.0
Logan Clark,1020.0
Aliaskhab Khizriev,1020.0
Lone’er Kavanagh,1020.0
DongHun Choi,1020.0
Lawrence Lui,1020.0
Keiichiro Nakamura,1020.0
Damian Pinas,1020.0
Kai Kamaka III,1020.0
Manoel Sousa,1019.94
Mikey Burnett,1019.93
Paul Sass,1019.93
Tyson Griffin,1019.9
Gokhan Saricam,1019.86
Zachary Reese,1019.82
Klaudia Sygula,1019.75
Ramiz Brahimaj,1019.69
Ian Freeman,1019.66
Sam Hughes,1019.59
Jonathan Pearce,1019.58
Tom Lawlor,1019.46
Aspen Ladd,1019.44
Evan Elder,1019.37
Hamdy Abdelwahab,1019.35
Ty Miller,1019.08
Jose Delano,1019.04
Joe Solecki,1018.99
Cody Haddon,1018.99
Ebenezer Fontes Braga,1018.98
Marina Rodriguez,1018.96
Genki Sudo,1018.92
Hecher Sosa,1018.91
Steve Nelmark,1018.89
Tommy McMillen,1018.85
Steve Jennum,1018.79
Tyrone Roberts,1018.79
Francis Marshall,1018.77
Stephanie Luciano,1018.76
Ron Waterman,1018.75
Charlie Campbell,1018.73
Nyamjargal Tumendemberel,1018.68
Alberto Montes,1018.6
Marlon Moraes,1018.57
Caio Magalhaes,1018.24
Andre Roberts,1018.23
Brian Stann,1018.2
Michael Trizano,1018.17
Imanol Rodriguez,1018.05
Marcio Barbosa,1017.93
Johnny Rhodes,1017.89
Tom Duquesnoy,1017.89
Abdul-Kerim Edilov,1017.83
Amanda Ribas,1017.83
Shanelle Dyer,1017.83
Brendson Ribiero,1017.81
Royston Wee,1017.77
Taiyilake Nueraji,1017.77
Ronnie Lawrence,1017.74
Yadier del Valle,1017.49
Mark Hunt,1017.35
Ovince Saint Preux,1017.3
Mike Kyle,1017.2
Ronny Markes,1017.06
Melsik Baghdasaryan,1017.03
Mantas Kondratavicius,1016.9
Juan Espino,1016.88
Jake O'Brien,1016.85
Matt Serra,1016.83
Aisling Daly,1016.7
Din Thomas,1016.57
Ryan Gandra,1016.57
Andrei Arlovski,1016.46
Gavin Tucker,1016.45
Tim Credeur,1016.42
Josefine Knutsson,1016.41
Christian Rodriguez,1016.37
Ed Herman,1016.3
Veronica Hardy,1016.27
Scott Holtzman,1016.24
Luis Saldana,1016.21
Paddy Holohan,1016.06
Hyder Amil,1016.06
Kiichi Kunimoto,1015.94
Josh Samman,1015.83
Adam Wieczorek,1015.75
Robert Peralta,1015.73
Aleksei Oleinik,1015.73
Colby Thicknesse,1015.73
Oumar Sy,1015.71
Cesar Almeida,1015.34
Malcolm Wellmaker,1015.33
Kyle Daukaus,1015.15
Carlos Leal,1015.11
Rizvan Kuniev,1015.07
Rich Attonito,1015.03
Bea Malecki,1014.82
Aleksei Kunchenko,1014.69
Claudio Puelles,1014.67
Ion Cutelaba,1014.55
ChangHo Lee,1014.49
Paul Kelly,1014.45
Billy Quarantillo,1014.19
Jesus Aguilar,1014.16
Matt Wiman,1014.06
Mauricio Rua,1014.02
Elias Silverio,1013.94
Soa Palelei,1013.75
Tim Elliott,1013.73
Montana De La Rosa,1013.2
Ben Nguyen,1013.12
Nick Diaz,1013.1
Brad Blackburn,1012.7
Oban Elliott,1012.52
Lyman Good,1012.47
Calvin Kattar,1012.47
Megan Anderson,1012.36
Paige VanZant,1012.0
Felicia Spencer,1011.89
Alan Patrick,1011.87
Gabriel Gonzaga,1011.8
HyunSung Park,1011.65
Yazmin Jauregui,1011.44
Ronaldo Rodriguez,1011.17
Wanderlei Silva,1011.14
Jose Quinonez,1011.11
Liz Carmouche,1010.71
Terry Etim,1010.47
Manny Bermudez,1010.42
John Castaneda,1010.34
Rogerio Nogueira,1010.28
Marc Diakiese,1010.19
Chris Daukaus,1010.1
Thiago Moises,1009.73
Aaron Pico,1009.6
Rodolfo Vieira,1009.55
Cung Le,1009.5
Clint Hester,1009.42
Tatsuya Kawajiri,1009.29
Alex Morono,1009.16
Song Kenan,1009.1
Steven Siler,1008.83
Tyson Pedro,1008.71
Mateusz Rebecki,1008.64
Morgan Charriere,1008.29
Gabriel Santos,1008.26
Damon Jackson,1008.06
Thomas Petersen,1008.0
Andreas Gustafsson,1007.74
Ildemar Alcantara,1007.68
Falaniko Vitale,1007.55
Lance Gibson Jr.,1007.27
Keith Hackney,1007.19
Miles Johns,1007.19
Diego Nunes,1007.14
Zak Ottow,1006.62
Eric McConico,1006.58
Jimi Manuwa,1006.57
Nikolas Motta,1006.3
Brandon Vera,1006.27
Chris Cariaso,1006.21
Kaan Ofli,1006.14
Miesha Tate,1006.08
Sultan Aliev,1005.98
Gary Goodridge,1005.9
Jose Ochoa,1005.87
Tofiq Musayev,1005.82
Amir Sadollah,1005.74
Gabe Green,1005.66
Shamil Gaziev,1005.52
Rich Clementi,1005.31
Kendall Grove,1005.27
Antonio Carvalho,1005.15
Waylon Lowe,1005.13
Gan McGee,1005.12
Siyar Bahadurzada,1005.01
Dennis Hallman,1004.8
Dave Beneteau,1004.71
Buddy Roberts,1004.71
Timmy Cuamba,1004.71
Alex Garcia,1004.59
Amaury Bitetti,1004.37
Ketlen Souza,1004.35
Chance Rencountre,1004.3
Stefan Struve,1004.19
Bill Algeo,1004.17
Shinsho Anzai,1004.16
Mike van Arsdale,1004.0
Caolan Loughran,1003.95
Albert Duraev,1003.88
TJ Waldburger,1003.84
Marcio Cruz,1003.83
Trey Ogden,1003.45
Uran Satybaldiev,1003.39
Austin Bashi,1003.38
Mounir Lazzez,1003.23
Alessandro Costa,1003.22
Mike Wilkinson,1003.14
Carlos Vera,1003.12
Douglas Silva de Andrade,1003.06
Tony Kelley,1003.0
Chidi Njokuani,1003.0
Mike Perry,1002.93
Rei Tsuruya,1002.78
